,food,description
257,스트로베리치즈케이크,원형틀 또는 파이틀 한개분 크림치즈 설탕 플레인요거트 딸기 나파쥬 광택제 약간 생크림 판젤라틴 레몬즙 바닐라설탕 버터 파이시트 다이제스티브쿠키 대체가능
258,초코브라우니,초콜렛 버터 설탕 우유 계란 커피술 박력분 베이킹파우더 호두 병조림 체리 샹티크림 조금
259,카프레제크로와상샌드위치,크로와상 생모짜렐라치즈 토마토 적당량 바질 약간
260,오믈렛버거,햄버거빵 크림치즈 계란 체다치즈 브로컬리 피클 우유 양파
261,오징어부추부침개,부침가루 튀김가루 중력분 계란 찬물 부추 호박 청양 고추 오징어
262,커피,인스턴트커피 물 설탕 얼음 딸기
263,스프링롤,라이스페이퍼 깻잎 버미셀리 껍질까서 손질한 생새우 크래미 노란 파프리카 빨간 파프리카 치자단무지 오이 햄 허브솔트 약간 후추 약간 피넛버터 간장 요리당 땅콩분태 약간 스위트칠리소스 적당량
264,호박볶음,말린호박 당근 조금
265,해물닭찜,닭 오징어 새우 감자 당근 양파 청양고추 물 녹말가루 물
266,바베큐립,등갈비 통후추 정향 조금 청주 조금 월계수잎 바비큐소스 케찹 진간장 황설탕 핫소스 육수 마늘가루
267,마늘쫑닭안심조림,마늘쫑 닭안심 다진 파프리카 색깔별로 생강가루 튀김가루 적당량 포도씨유 적당량 다진 마늘 허브솔트
268,빵푸딩,식빵 달걀 우유 생크림 바나나 크렌베리 건포도
269,초코버터케이크,버터 설탕 달걀 박력분 코코아가루 베이킹파우더 물 버미셀리 약간 장식용 택 슈가파우더
270,돼지목살김치찌개,돼지고기 김치 양파 두부 풋고추 김치국물 물 포도씨유
271,베치번즈,제빵용 백미가루 인스턴트 드라이 이스트 소금 설탕 계란 우유 버터 표면에 바를 계란물 약간
272,꽈리고추달걀장조림,달걀 꽈리고추 통마늘 국물용 멸치 물 진간장 설탕 맛술
273,쫄면,쫄면 콩나물 오이 당근 적양배추 삶은 달걀
274,어니언스프,양파 버터 물 모짜렐라치즈
275,김치삼겹살말이,삼겹살 깻잎 신김치
276,감자계란그라탕,계란 감자 양파 피자치즈 적당량
277,닭고기야채조림,토막낸 닭고기 우유 적당량 양파 당근 청피망 감자 마른 표고버섯채 적당량 다시마육수
278,볶음우동,우동면 돼지고기 청경채 양파 청피망 홍피망 노랑파프리카 청주 허브솔트 조금씩 마늘 생강 조금 두반장 청주 포도씨유 고추기름 소금 조금 참기름
279,롤샌드위치,샌드위치용 식빵 빨강 파프리카 노랑 파프리카 오이 햄 크래미 치즈
280,파스타과자,파스타 튀김기름
281,브로콜리볶음밥,등갈비 양파 정향 조금 통후추 조금 월계수잎 청주 적당량 브로콜리 밥 베이컨 마늘 굴소스 오일 조금 시판바베큐소스 케찹 진간장 우스터소스 황설탕 핫소스 청주 마늘가루
282,떡볶이그라탕,떡볶이떡 쫄면 대파 양파 어묵 피자치즈 버터 물
283,골뱅이무침,골뱅이 오이 양파 당근 소면
284,토마토마리네이드,방울토마토 양파
285,티라미스,딸기 설탕 레몬즙 크림치즈 플레인요거트 설탕 레몬즙 생크림 카스테라
286,김치볶음밥그라탕,아삭한김치 베이컨 청피망 양파 슬라이스치즈 피자치즈 적당량 밥
287,뮈슬리크런치쿠키,박력분 버터 베이킹 파우더 베이킹 소다 계란 흑설탕 흰설탕 콘플레이크 유기농 뮈슬리
288,닭가슴살양파샌드위치,식빵 체다치즈 오이피클 양상추 적당량 닭가슴살 계란 양파
289,상추겉절이,상추 대파
290,뼈다귀감자탕,돼지등뼈 시래기 감자 들깨가루 대파 양파 통마늘 통후추 청주
291,묵은지유부초밥,시판용 초밥유부 밥 묵은지 파슬리가루 약간
292,바나나쨈,바나나
293,허브빵,흑미 박력쌀가루 베이킹파우더 작은술 설탕 허니파우더 파슬리가루 바질가루 버터 우유 계란 소금 작은술 사각틀 사방
294,미트볼야채조림,돼지고기간것 양파 빵가루 녹말가루 계란흰자 백포도주 마늘가루 후춧가루 적당량 소금 적당량 노랑파프리카 빨강파프리카 양파 브로콜리 녹말가루 물 토마토케찹 진간장 굴소스 우스터소스 황설탕 육수 참기름 조금
295,삼겹살김치말이,김치 이쑤시개 조금 청주 후춧가루 조금 진간장 물 참기름 요리당 마늘 생강 조금
296,또띠아피자,또띠아 양파 새송이버섯 빨강 파프리카 노란 파프리카 청피망 햄 적당량 피자치즈 파슬리가루 조금 약간의 오일 슬라이스치즈
297,고추잡채,돼지고기 안심 청피망 빨간파프리카 노란 파프리카 양파 중간 크기 부추 당면 청양고추 꽃빵
298,수플레치즈케이크,박력분 크림치즈 플레인 요거트 설탕 생크림 블루베리 레몬즙 설탕 노른자 레몬즙 바닐라설탕 제누와즈 흰자 설탕
299,초코쉬폰,노른자 우유 박력분 흰자
300,오렌지갈레트,노른자 박력분 바닐라 오일 약간 오렌지제스트
301,오코노미야끼,오징어 새우 양배추채 대파 청양고추 가쓰오부시 부침가루 달걀 물 우유
302,부추전,부추 양파 당근 약간 청양 고추 부침가루 밀가루 얼음물
303,도넛,굳은도넛 생크림 키위 장식용과일 조금 민트잎 물 설탕 레몬즙 오렌지술 럼주 계피 나빠쥬 꿀
304,오징어토마토덮밥,양파 애호박 방울토마토 오징어몸통 풋고추 대파 밥
305,양파감자스프,양파 감자 식빵 물 치킨스톡 피자치즈 식용유
306,굴소스짜장볶음밥,찬밥 양파 피망 파프리카 당근 부추 포도씨유
307,참깨베이글,강력분 호밀가루 드라이이스트 소금 물 설탕 깨
308,뚝배기달걀찜,달걀 멸치다시마 육수 다진 양파 다진 당근 다진 대파 국물용 멸치 다시마 물
309,크림치즈머핀,버터 크림치즈 설탕 달걀 아몬드가루 강력분 박력분 베이킹파우더 머핀속 크림치즈 머핀 위 토핑 크림치즈 포피시드
310,마늘쫑볶음,마늘쫑 홍고추
311,굴생채,채썬 무 굴 양파 대파
312,단호박찜,단호박 콩배기 밤 시판 찹쌀가루 꿀 물 콩 물 설탕 소금
313,크랜베리버터케이크,버터 설탕 달걀 박력분 우유 바닐라오일 크랜베리 럼주
314,소고기콩나물두부국,소고기 콩나물 두부 청양고추
315,참치야채죽,밥 참치 당근 양파 애호박 표고버섯 계란 실파
316,양송이버섯장조림,양송이버섯 통 마늘 꽈리고추 굵은소금 물 진간장 설탕 물엿 맛술 통깨 조금
317,아이스크림,냉동딸기 또는 생딸기 달걀 노른자 설탕 레몬즙 바닐라설탕 생크림 우유 토핑용 딸기 와플콘 달걀 흰자 설탕 박력분 버터 우유 소금
318,KFC비스킷,박력분 무염버터 우유 설탕 소금 달걀 바닐라 오일
319,마늘조림,마늘 올리브유
320,찹쌀도넛,박력분 찹쌀도넛믹스 버터 설탕 계란 우유 슈가파우더 우유 딸기가루 조금 냉동건조딸기 조금
321,오이볶음,오이 굵은 소금
322,치킨카레우동,우동면사리 하림 슬림 닭가슴살 닭가슴살 양파 작은것 물 파프리카 데친 브로콜리 포도씨유 카레가루
323,묵은지삼겹살두루치기,삼겹살 잘익은묵은김치 양파 설탕 참기름 진간장 다진 마늘 고추장 설탕 참기름 맛술 매실액기스 후춧가루 조금
324,과일타르트,찬버터 박력분 계란 소금 조금 설탕 크림치즈 버터 계란 설탕 아몬드가루 오렌지술 살구쨈 물엿 물 생크림 설탕 여러가지 과일
325,황태오븐구이,황태포 밀가루 적당량
326,궁중떡볶이,떡볶이떡 양파 데친 브로콜리 빨강 파프리카 노랑 파프리카 주황파프리카 생표고 하림 슬림 닭가슴살 대파 포도씨유
327,녹차아이스크림,우유 설탕 물엿 우유 전분 녹차가루 소금 약간 생크림
328,해물콩나물밥,불린쌀 콩나물 오징어 새우 다시마 물 진간장 고춧가루 참기름 통깨 다진 청양고추 다진 붉은고추 다진 대파
329,새송이버섯라이스그라탕,밥 새우살 새송이버섯 당근 양파 피망 약간 버터 백포도주 피자치즈 소금 약간 후추 약간 방울토마토 파마산치즈가루 약간 건파슬리가루 약간 밀가루 버터 우유 소금 약간 후추 약간
330,코코넛마들렌,버터 꿀 박력분 코코넛가루 계란 레몬즙 설탕
331,벨기에와플,박력분 강력분 물 소금 약간 설탕 올리브오일 이스트 슈가파우더 약간
332,달걀말이,달걀 대파
333,양파즙,양파 물 대추
334,코코넛머핀,박력분 딸기맛코코넛가루 베이킹파우더 버터 설탕 계란 우유 포피시드 바닐라오일 조금 장식용 초코칩 적당량
335,치킨퀘사디아,닭가슴살 양파 양송이버섯 청피망 홍피망 또띠아 또띠아 오일 적당량 피자치즈 적당량 카레가루 소금 약간 후춧가루 조금 토마토 올리브오일 화이트와인 식초 소금
336,닭봉케찹조림,닭봉 양파 버터 호두 월계수잎 물 우유 적당량 후춧가루 적당량 케찹 우스터소스 핫소스 현미식초 황설탕 요리당 소금
337,닭가슴살볶음밥,닭가슴살캔 양파 청피망 홍피망 완두콘캔 옥수수캔 밥
338,치킨도리아,닭가슴살 양파 청피망 홍피망 당근 양송이버섯 베이컨 밥
339,매콤짜장덮밥,돼지고기 감자 양파 당근 애호박 청양고추 물 짜장분말 물
340,통밀브레드,강력분 중력분 유기농 통밀분 설탕 생크림 따뜻한 물 소금 플랙시드 가루 인스턴트 드라이 이스트 계란 버터
341,돼지고기안심장조림,돼지고기 안심 약 청양고추 된장 통후추 대파 흰 부분 마늘 생강이나 생강가루 물 간장 청주 맛술 흑설탕 물엿 물
342,오이부추무침,오이 부추 썬것 양파
343,녹차팥롤케이크,계란 설탕 버터 우유 밀가루박력분 녹차가루 생크림 설탕 팥앙금 팥배기 적당히
344,쑥떡떡볶이,쑥떡 떡볶이떡 양파 양배추 당근 대파 동글어묵 삶은계란
345,치킨시저샐러드,로메인 양상추 하림 슬림 닭가슴살 삶은 닭가슴살 방울 토마토 파마산치즈 약간 노른자 우스터소스 백후추 엔초비 포도씨유 식초 파마산치즈 식빵 올리브유 파마산치즈가루 파슬리가루 약간
346,비엔나마늘종볶음,비엔나소시지 마늘쫑 오일 조금 소금 약간 진간장 요리당 참기름 청주 통깨 적당량
347,흑미식빵,흑미가루 탈지분유 계란 우유 이스트
348,피자빵,식빵 피자치즈 햄 청피망 빨강파프리카 노랑파프리카 양파 통조림 완두콩 옥수수캔 슬라이스치즈 파인애플통조림 약간
349,오므라이스,뜨거운 밥 맛있는밥 엔 달걀
350,젤리,한천가루 조금 진하게 탄 원두커피 설탕 적당량
351,홍차젤리,한천가루 홍차 설탕
352,포도젤리,블루메이드 포도맛 물 포도알 단호박젤리 약간
353,사시미곤약쫄면,사시미 곤약분말 물 보라색 천연색소 토마토 양상추 삶은계란
354,브레드,강력분 물 우유 설탕 소금 이스트 포피시드
355,시나몬비스코티,계란 설탕 바나나 박력분 아몬드가루 통아몬드 베이킹파우더 시나몬가루
356,치킨양파샌드위치,샌드위치식빵 토마토 닭가슴살 계란 양파 브로컬리
357,피자호떡,호떡믹스 호떡잼믹스 드라이이스트 따뜻한 물 파인애플 슬라이스치즈 통조림 옥수수 통조림 완두콩 포도씨유 적당히
358,푸실리,푸실리 물 많이 굵은 소금 깻잎 잣 마늘 올리브오일 소금 적당량 파마산 치즈나 그라나 빠다노 통후추 간것 적당량
359,소세지야채볶음,비엔나 소시지 양파 큰 것 피망 당근 대파 약간
360,브라우니치즈케이크,초콜렛 버터 설탕 달걀 박력분 코코아가루 그뤼에 카카오 크림치즈 플레인요플레 생크림 설탕 달걀 옥수수전분
361,무화과닭갈비,닭 무화과 말린 것 설탕 물에 불릴때 사용 당귀잎 쌈야채 물 조금 통깨 조금 간장 황설탕 참기름 다진 마늘 다진 파 고추장 올리고당 맛술 생강가루 후추 조금
362,탕수만두,만두 마른표고버섯 당근 양파 완두콩캔 옥수수캔 녹말가루 물 진간장 물 황설탕 현미식초 레몬즙 소금 약간
363,돈까스,돈까스용등심 신김치 콩나물 홍고추 청고추 통깨 조금 튀김가루 빵가루 적당량 계란
364,만두,돼지살코기간것 김치 두부 파 적당량 마늘 적당량 계란 숙주 깨 약간 참기름 소금 후추 만두피 국간장 미림 대파 적당량 멸치다시국물
365,레어치즈케이크,크림치즈 생크림 플레인요구르트 설탕 가루젤라틴 레몬즙 오렌지술 버찌 블루베리 비스킷 제누아즈 글레이즈
366,카누레,우유 바닐라빈 계란전란 노른자 슈가파우더 또는 설탕 박력분 럼주 버터 약간 설탕 약간
367,카레두부햄버거,두부 돼지고기간것 청피망 빨강파프리카 노랑파프리카 양파 카레가루 빵가루 녹말가루 계란 슬라이스햄 햄버거빵 양상추 조금 토마토
368,감자핫케익,감자 계란 밀가루 소금
369,생크림얼그레이스콘,생크림 설탕 소금 약간 박력분 베이킹파우더 얼그레이
370,오징어볶음밥,생물 오징어 큰것 양파 큰것 데친 브로콜리 찬밥 완두콩 통조림 옥수수 포도씨유
371,쌀모닝빵,강력쌀가루 우유 드라이이스트 소금 허니파우더 포도씨유 계란
372,달걀볶음밥,달걀 양파 당근 대파 밥
373,동파육,통삼겹살 대파채 물 양파 통 마늘 통후추 파뿌리 월계수잎 진간장 굴소스 설탕 맛술 인스턴트 커피
374,샌드,멥쌀가루 쑥 물 소금 조금
375,크렌베리생크림식빵,강력분 설탕 소금 인스턴트 드라이이스트 생크림 따뜻한 물 계란 버터 크렌베리 물
376,두부강정,두부 땅콩 녹말가루 적당량 대파 쪽파 적당량
377,초콜릿무스,초콜릿 버터 계란노른자 코코아가루 생크림 설탕
378,버섯덮밥,표고버섯 양송이버섯 새송이버섯 팽이버섯 새우 양파 홍피망 청고추 청경채 전분 간장 미림 굴소스 참기름 약간 소금 약간 후춧가루 약간
